EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
-13, 2, 2, -2, -1, -3, -1, 1, 2021-08-18 17:53:43.965174
-19, -21, -8, -5, -3, 0, -3, -13, 2021-08-18 17:53:43.965174
-7, -4, -3, -2, -2, -2, -2, -3, 2021-08-18 17:53:43.965174
-3, -2, -2, -2, -1, 0, -1, -2, 2021-08-18 17:53:43.965174
6, 6, 2, 1, -1, -1, -1, 3, 2021-08-18 17:53:43.966176
2, 2, 2, 1, 0, -2, 0, 4, 2021-08-18 17:53:43.966176
0, 0, -2, -1, 0, -1, -1, 0, 2021-08-18 17:53:43.967175
9, 2, 0, 1, 0, 0, 1, 7, 2021-08-18 17:53:43.967175
7, 4, 2, 1, 0, 0, 1, -2, 2021-08-18 17:53:43.987175
-12, -5, 0, 0, -1, -1, -3, -12, 2021-08-18 17:53:43.987175
-6, -5, -3, -1, 0, -1, -3, -5, 2021-08-18 17:53:43.988175
-2, -1, -2, -2, -1, 0, 1, -2, 2021-08-18 17:53:43.989175
5, -3, -4, -1, -1, 1, 2, 1, 2021-08-18 17:53:43.992175
5, 4, 1, 0, 0, 0, 3, 7, 2021-08-18 17:53:43.993175
-15, -5, 0, -1, 0, -1, 0, -4, 2021-08-18 17:53:44.008175
2, -4, 0, -1, -2, -3, -4, 2, 2021-08-18 17:53:44.008175
3, 1, 1, 0, -2, -3, -2, 1, 2021-08-18 17:53:44.017175
-4, 0, -6, -2, -1, -2, -2, -1, 2021-08-18 17:53:44.018175
-5, -4, -2, -1, -1, -1, -2, -4, 2021-08-18 17:53:44.031175
3, 5, 3, 0, 0, -1, -2, -4, 2021-08-18 17:53:44.031175
-6, -3, -1, 0, 1, 2, -1, -4, 2021-08-18 17:53:44.039175
10, 7, 2, 2, -1, 0, 0, 3, 2021-08-18 17:53:44.039175
5, 3, 2, -1, -1, 0, -1, 3, 2021-08-18 17:53:44.052174
-8, -3, -3, 0, 0, -1, 2, 0, 2021-08-18 17:53:44.053174
-13, -7, -6, -2, -2, 0, -2, -8, 2021-08-18 17:53:44.094175
-7, -3, -1, -2, 0, 0, -1, -2, 2021-08-18 17:53:44.094175
0, -1, 1, 1, -1, -1, 0, 4, 2021-08-18 17:53:44.095175
3, 1, 0, 0, 0, 0, 0, 4, 2021-08-18 17:53:44.095175
9, 7, 3, 1, -1, 0, 0, 2, 2021-08-18 17:53:44.098175
-7, -6, -3, -2, -2, -1, -2, -6, 2021-08-18 17:53:44.098175
-4, -5, -3, -2, 0, -1, -2, -5, 2021-08-18 17:53:44.099175
1, -1, -1, 0, 0, 0, 0, 0, 2021-08-18 17:53:44.099175
12, 9, 0, -3, -2, -5, -2, 0, 2021-08-18 17:53:44.105174
3, 1, 3, 2, 0, 0, 2, 1, 2021-08-18 17:53:44.106174
-27, -18, -7, -3, 0, 0, 0, -4, 2021-08-18 17:53:44.112174
-11, -9, -6, -4, -4, -4, -5, -13, 2021-08-18 17:53:44.112174
8, -1, 0, -2, 0, 0, -1, 3, 2021-08-18 17:53:44.120174
11, 7, 1, -1, 0, 0, -1, 0, 2021-08-18 17:53:44.120174
15, 10, 4, 2, 0, -2, -1, 5, 2021-08-18 17:53:44.135174
-8, -4, -1, 0, 1, 1, 0, -3, 2021-08-18 17:53:44.135174
-18, -7, -3, -1, -3, -2, -3, -8, 2021-08-18 17:53:44.142174
10, 2, 1, 0, -1, -2, -3, 1, 2021-08-18 17:53:44.142174
0, 1, 0, 1, -1, 1, 0, -3, 2021-08-18 17:53:44.166175
4, -1, 0, 0, -2, -2, -2, 4, 2021-08-18 17:53:44.166175
0, 1, 0, -1, -1, 1, 1, 2, 2021-08-18 17:53:44.167175
-17, -7, -3, -1, -3, -2, -1, -6, 2021-08-18 17:53:44.167175
4, 3, -1, 0, 0, -2, -1, -2, 2021-08-18 17:53:44.180175
4, 3, 0, 1, 1, -1, -1, 2, 2021-08-18 17:53:44.181175
