EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
-6, -2, -2, -2, -2, -1, 0, -2, 2021-08-24 19:10:40.017127
-1, -2, -1, 0, 1, 1, -4, -7, 2021-08-24 19:10:40.018129
-8, -3, -1, 1, 0, -1, -1, -1, 2021-08-24 19:10:40.030124
3, 0, -2, -2, -1, 1, 1, 7, 2021-08-24 19:10:40.030124
1, 0, 0, -1, -1, -1, -2, -3, 2021-08-24 19:10:40.037120
-2, -2, 0, -1, -3, -1, 1, 0, 2021-08-24 19:10:40.037120
-4, 0, -2, 1, -1, 0, -1, -1, 2021-08-24 19:10:40.053159
1, -1, -2, 1, 0, -4, -3, -5, 2021-08-24 19:10:40.053159
7, 0, -3, -2, -1, -1, 0, 5, 2021-08-24 19:10:40.055119
-12, -2, -2, -1, -2, -1, 1, -2, 2021-08-24 19:10:40.055119
5, 0, 0, -2, -1, -2, -2, -7, 2021-08-24 19:10:40.075151
2, 1, -3, -1, -1, -1, -2, 2, 2021-08-24 19:10:40.076118
3, 0, -1, -1, -1, 0, 1, 4, 2021-08-24 19:10:40.082112
1, -1, 0, 0, 1, 1, 2, 3, 2021-08-24 19:10:40.082112
-7, -2, -3, -1, 0, 0, -3, -1, 2021-08-24 19:10:40.089148
-7, -3, 1, -1, 0, 0, 0, -6, 2021-08-24 19:10:40.090111
0, -2, -1, -1, -2, -2, -4, -2, 2021-08-24 19:10:40.098115
8, 2, -2, -1, -2, -4, -2, 3, 2021-08-24 19:10:40.098115
0, -1, 1, 1, 0, 0, 1, 0, 2021-08-24 19:10:40.113108
-4, -2, -1, -1, -2, -4, -6, -7, 2021-08-24 19:10:40.113108
-8, -2, -1, 0, 0, -2, -2, -4, 2021-08-24 19:10:40.114107
0, -4, -1, 1, -1, 0, 0, -3, 2021-08-24 19:10:40.115109
2, 0, -1, 0, -2, -1, -1, 1, 2021-08-24 19:10:40.136102
-4, -1, 1, 0, 0, -2, -1, 1, 2021-08-24 19:10:40.136102
5, 0, -1, -1, -1, 1, -1, 2, 2021-08-24 19:10:40.137104
-5, -1, -2, -2, -1, -3, -5, -7, 2021-08-24 19:10:40.137104
5, 0, -2, -1, 0, 0, 1, 3, 2021-08-24 19:10:40.149104
-6, -3, 0, -1, -1, 1, -1, -7, 2021-08-24 19:10:40.150104
-4, 0, -2, 1, -2, 0, 2, 7, 2021-08-24 19:10:40.158099
13, 4, -2, -1, -1, 0, 2, 5, 2021-08-24 19:10:40.158099
-13, -3, 0, -2, -3, -4, -6, -11, 2021-08-24 19:10:40.173100
0, 1, 0, -1, 0, -2, -3, -1, 2021-08-24 19:10:40.174100
0, 0, 0, -1, 0, -2, 1, 0, 2021-08-24 19:10:40.175097
0, -1, -2, -1, -3, 0, 0, 2, 2021-08-24 19:10:40.175097
-1, -3, -2, 0, -1, 0, 3, 3, 2021-08-24 19:10:40.196094
-3, -2, -1, -3, -1, -2, -4, -9, 2021-08-24 19:10:40.197099
1, -1, 0, 0, 0, 1, 0, 0, 2021-08-24 19:10:40.198092
-2, 0, -1, -2, -1, 0, -3, 0, 2021-08-24 19:10:40.198092
7, 1, 0, -1, -2, 0, 0, 4, 2021-08-24 19:10:40.218089
-1, 0, 0, 0, 0, 4, 3, 0, 2021-08-24 19:10:40.219092
-1, -1, 0, 1, -1, -1, -2, -2, 2021-08-24 19:10:40.220091
-7, -2, -1, 1, 1, 0, -1, -4, 2021-08-24 19:10:40.220091
0, -1, 2, -2, -1, -1, 1, 3, 2021-08-24 19:10:40.233086
5, -1, -2, 0, -3, -2, 2, 3, 2021-08-24 19:10:40.234087
-7, 0, -1, -2, -2, 1, -1, -1, 2021-08-24 19:10:40.241093
5, 2, 0, 0, -1, -2, -3, -3, 2021-08-24 19:10:40.241093
-1, -1, -1, -1, -1, -2, -1, 0, 2021-08-24 19:10:40.256084
-4, -3, 0, -2, -1, 0, 0, -1, 2021-08-24 19:10:40.257086
2, 0, -2, -2, -3, -3, 1, -2, 2021-08-24 19:10:40.258083
-6, -1, 2, 2, 4, 0, -2, -1, 2021-08-24 19:10:40.258083
-2, -3, -2, -1, -2, -1, 0, 1, 2021-08-24 19:10:40.269079
-1, 0, -1, -1, -1, -2, -3, -6, 2021-08-24 19:10:40.270077
-1, -1, -3, -1, -1, 0, 1, 1, 2021-08-24 19:10:40.278076
1, -2, -1, -2, -2, -1, 2, 6, 2021-08-24 19:10:40.279081
-7, -1, -1, -2, -1, -4, -5, -12, 2021-08-24 19:10:40.293075
8, 1, -1, 1, 0, 3, 3, 7, 2021-08-24 19:10:40.293075
-7, -4, -1, -2, 0, 0, -3, -7, 2021-08-24 19:10:40.316070
11, 3, -2, -1, -4, -4, -3, 4, 2021-08-24 19:10:40.316070
4, 1, -3, -2, 0, -1, 1, 5, 2021-08-24 19:10:40.317073
-9, -5, -2, -2, -2, -3, -2, -3, 2021-08-24 19:10:40.317073
1, 0, -1, -1, -1, -1, -2, -1, 2021-08-24 19:10:40.322075
-4, 0, -1, -1, -1, 0, 0, 0, 2021-08-24 19:10:40.322075
-1, -2, -2, -1, -1, 0, -1, 0, 2021-08-24 19:10:40.329068
5, 2, -2, -1, -1, -1, 0, 3, 2021-08-24 19:10:40.330069
9, 4, 2, 3, 4, 1, 1, 4, 2021-08-24 19:10:40.363061
-4, -4, -2, -1, -2, -1, 0, 0, 2021-08-24 19:10:40.363061
-2, 1, 0, -2, -2, -1, -1, -3, 2021-08-24 19:10:40.363061
-7, -2, 0, 1, -1, -2, 0, 1, 2021-08-24 19:10:40.364061
1, -2, -2, -3, -2, -1, 0, -2, 2021-08-24 19:10:40.367062
-4, -1, 0, 1, -1, -4, -1, -5, 2021-08-24 19:10:40.369062
