Timestamp,Milliseconds,Angle,Angular Velocity
12:15:14.508754,508754,117.2986359290774,230.56061658301928
12:15:14.513866,513866,119.19213974292254,370.40371945327246
12:15:14.517913,517913,118.61668452944252,142.19303520632866
12:15:14.521974,521974,114.54120719896595,1003.56496687431
12:15:14.525949,525949,114.3192580494066,55.836264040088096
12:15:14.529973,529973,113.49444196303216,204.97417653440365
12:15:14.533947,533947,114.48633476610435,249.59557198595624
12:15:14.538947,538947,115.91596376931237,285.92580064160416
12:15:14.542985,542985,117.43282122661596,375.64572989192345
12:15:14.546982,546982,118.39145655981928,239.83871233508094
12:15:14.550982,550982,119.39009285471965,249.65907372509477
12:15:14.554975,554975,119.66939000536493,69.94669437647815
12:15:14.558950,558950,120.66385257747274,250.17926342334763
12:15:14.562983,562983,119.77810845469175,219.62413160946974
12:15:14.567952,567952,118.03888332342595,350.01511999714177
12:15:14.571987,571987,118.4004056484167,89.59661090229105
12:15:14.575947,575947,117.77469062691536,158.00884381346853
12:15:14.579950,579950,118.44954803083881,168.58791004832727
12:15:14.583983,583983,117.45472634330686,246.67039115595168
12:15:14.588948,588948,114.09460313519564,676.7619754503966
12:15:14.592949,592949,113.44407118684636,162.59233900257001
12:15:14.596973,596973,113.17429868440206,67.04088032909975
12:15:14.601005,601005,114.09730751144865,228.92084004131624
12:15:14.604974,604974,112.30265049238955,452.1685611134043
12:15:14.608948,608948,112.3312019195846,7.184556415464181
12:15:14.612975,612975,112.36748289952271,9.009431323097225
12:15:14.617973,617973,113.49204846144838,225.003113630585
12:15:14.621973,621973,113.74153467628446,62.37155370902059
12:15:14.625948,625948,114.21448937752344,118.98231477710084
12:15:14.629975,629975,115.11770749715379,224.29056856974236
12:15:14.633974,633974,114.76654784921347,87.81186495131807
12:15:14.638949,638949,115.88124870366893,224.06047325737964
12:15:14.642949,642949,115.07720996455618,201.0096847781888
12:15:14.646972,646972,116.01653530209929,233.48877393564757
12:15:14.650973,650973,116.28076784523813,66.04162537836683
12:15:14.654974,654974,116.36838693303461,21.89929712483956
12:15:14.658984,658984,116.49978265326526,32.76701252634479
12:15:14.662984,662984,115.32235484691067,294.3569515886466
12:15:14.667950,667950,115.31941585320911,0.5918231376484603
12:15:14.672000,672000,116.92715631475986,396.97295346932043
12:15:14.675954,675954,117.27318332304128,87.51315333369367
12:15:14.679950,679950,116.39451622630558,219.88666084476895
12:15:14.683974,683974,116.32290463562084,17.796120945511735
12:15:14.688948,688948,117.58302327915808,253.34110244013667
12:15:14.692974,692974,117.75391392857182,42.44675842367988
12:15:14.696974,696974,118.54503848181615,197.78113831108257
12:15:14.700950,700950,119.16869617800603,156.85555739182104
12:15:14.704950,704950,117.76649486538403,350.55032815549936
12:15:14.708947,708947,115.73438116639912,508.4097320452628
12:15:14.713949,713949,116.15525322978246,84.1407563741188
12:15:14.717974,717974,117.15316923572477,247.9294424701404
12:15:14.721947,721947,118.79865481495995,414.16702220870144
12:15:14.725949,725949,118.93024746050452,32.88172052588005
12:15:14.729985,729985,120.72419876822276,444.4874399698329
12:15:14.733985,733985,122.14482961499772,355.15771169373875
12:15:14.737976,737976,125.47307108744076,833.9367257436833
12:15:14.742950,742950,125.14315398388261,66.3283280173191
12:15:14.746974,746974,124.41225972404288,181.63376238561867
12:15:14.750977,750977,125.47653947224002,265.8705341486728
12:15:14.754974,754974,125.58609869322433,27.410363018341016
12:15:14.758949,758949,125.29336472391583,73.64376586377365
12:15:14.762973,762973,125.68437628838537,97.16987188606777
12:15:14.767948,767948,125.25272597300102,86.76388248931569
12:15:14.771977,771977,125.39668158531892,35.72986158299727
12:15:14.775949,775949,123.92308585307745,370.9959043911036
12:15:14.779950,779950,124.12244576671661,49.8275215294068
12:15:14.783950,783950,123.48788334701561,158.64060492524956
12:15:14.787954,787954,124.36145265538741,218.17415294000975
12:15:14.792968,792968,124.39916886628853,7.522180076011918
12:15:14.796948,796948,123.00540177592613,350.1927362719604
12:15:14.800949,800949,122.92396865666608,20.353191517134416
12:15:14.804950,804950,123.43937068064197,128.8183014186191
12:15:14.809000,809000,121.3389572942143,518.6205892414014
12:15:14.812950,812950,119.49558780579228,466.67581985367417
12:15:14.818016,818016,120.01377293457452,102.28683947537218
12:15:14.821996,821996,119.63409272459509,95.39703768327294
12:15:14.825995,825995,118.30468106271283,332.4360244766845
12:15:14.829992,829992,118.4253322413939,30.185433745577242
12:15:14.834028,834028,120.02050420950071,395.23586920386805
12:15:14.838031,838031,119.77276843370026,61.88752830388463
12:15:14.843034,843034,118.77877750096707,198.67897915914403
12:15:14.846994,846994,117.71279119745074,269.1884604839206
12:15:14.851018,851018,117.5967564394177,28.835675455526363
12:15:14.854993,854993,117.22783282759457,92.81097152783268
12:15:14.858992,858992,117.66901438821154,110.3229708969663
12:15:14.862993,862993,115.69202601380081,494.1235627120028
12:15:14.867993,867993,115.68582707684214,1.239787391733671
12:15:14.871994,871994,116.62108089884302,233.75501674603197
12:15:14.875992,875992,114.1301504168361,623.0441425730157
12:15:14.879994,879994,113.05705278686726,268.14033732354875
12:15:14.884018,884018,112.38011178527493,168.22589502791394
12:15:14.888022,888022,111.63267001468553,186.67376887847257
12:15:14.892993,892993,111.03003602098886,121.22993234694644
12:15:14.896991,896991,115.60367880521822,1143.9826874010414
12:15:14.901029,901029,117.07124266522298,363.43830114035643
12:15:14.904993,904993,119.18384426475033,532.9469221814712
12:15:14.908992,908992,119.19568102801688,2.9599307993358153
12:15:14.912993,912993,120.4438774945178,311.97112384427106
12:15:14.917992,917992,119.01096513228187,286.63980040726926
