EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
-5, 4, 3, 2, -1, 0, 0, 0, 2021-08-18 13:01:35.948347
-9, -2, 0, 0, -2, -2, -2, -3, 2021-08-18 13:01:35.962346
1, 0, -6, -6, -4, -3, -3, -2, 2021-08-18 13:01:35.962346
-3, -4, -4, -5, -2, -2, -2, -2, 2021-08-18 13:01:35.963346
5, -1, -2, 0, 1, 3, 2, 2, 2021-08-18 13:01:35.963346
3, 9, 15, 10, 5, 3, 3, 1, 2021-08-18 13:01:35.985346
-5, -6, -8, -3, -4, -2, 0, 0, 2021-08-18 13:01:35.985346
0, 0, 6, 2, 3, 3, 5, 2, 2021-08-18 13:01:35.985346
1, 0, -4, -2, -3, -3, -2, -1, 2021-08-18 13:01:35.986347
-4, -4, -8, -5, -3, -5, -2, -2, 2021-08-18 13:01:35.999345
-3, -5, -4, -3, -2, -3, -4, -3, 2021-08-18 13:01:35.999345
1, -3, 2, 1, -1, 3, 0, -1, 2021-08-18 13:01:36.015348
-2, -1, -5, -3, -4, -4, -2, -1, 2021-08-18 13:01:36.015348
-1, 1, -2, -4, -1, 1, 2, 0, 2021-08-18 13:01:36.022348
1, -4, 5, 0, -3, 0, 2, 1, 2021-08-18 13:01:36.022348
-2, -2, -5, 0, -2, -4, -3, 1, 2021-08-18 13:01:36.023346
-4, 1, 2, 0, 0, -1, -4, -3, 2021-08-18 13:01:36.023346
1, 0, -9, -6, -5, -4, -2, -2, 2021-08-18 13:01:36.045347
1, 0, 0, -2, 0, 1, -2, 0, 2021-08-18 13:01:36.045347
-5, -5, -2, -2, -1, 0, -1, -1, 2021-08-18 13:01:36.046347
2, 5, 6, 2, 1, 1, 3, 3, 2021-08-18 13:01:36.046347
1, -3, 0, 1, 0, 2, -2, -2, 2021-08-18 13:01:36.059347
-3, -2, 0, 1, -1, -2, 0, 2, 2021-08-18 13:01:36.059347
0, -1, -3, -3, -3, -4, -4, -2, 2021-08-18 13:01:36.075348
-2, 9, 1, -1, 0, 1, 0, -2, 2021-08-18 13:01:36.075348
-1, -7, -8, -5, -1, -3, -1, -1, 2021-08-18 13:01:36.082347
-2, -14, -7, -1, 0, 2, 0, -1, 2021-08-18 13:01:36.082347
0, -3, 2, 6, 1, -1, 1, -1, 2021-08-18 13:01:36.083347
-1, 1, -1, -2, -3, -2, -3, -3, 2021-08-18 13:01:36.083347
0, 10, 2, 0, -2, -2, -2, -1, 2021-08-18 13:01:36.105348
0, 8, 2, -5, -3, 0, 0, 0, 2021-08-18 13:01:36.105348
3, 5, -2, -4, -1, 0, -1, 0, 2021-08-18 13:01:36.105348
-1, -10, -6, 1, 1, 0, 1, 1, 2021-08-18 13:01:36.106348
-4, -12, -3, -2, -2, 0, 0, -1, 2021-08-18 13:01:36.119346
0, 3, 3, 4, 2, 0, -1, -3, 2021-08-18 13:01:36.119346
-4, 2, 1, -1, -1, -2, -1, -2, 2021-08-18 13:01:36.127346
2, 12, 3, 0, -1, -1, -2, -2, 2021-08-18 13:01:36.128346
6, -11, -6, -1, 1, 2, 0, 2, 2021-08-18 13:01:36.142347
-14, -9, -3, 2, 0, 2, 0, -1, 2021-08-18 13:01:36.143347
1, 2, -5, -5, -5, -4, -4, -4, 2021-08-18 13:01:36.143347
-1, -2, -3, -2, 0, 0, 1, -2, 2021-08-18 13:01:36.143347
4, 7, 3, 2, -1, -3, -1, -1, 2021-08-18 13:01:36.165347
3, 2, 0, -2, -3, -2, -4, -3, 2021-08-18 13:01:36.165347
-3, -6, -4, -1, -1, 1, 0, 1, 2021-08-18 13:01:36.165347
0, -3, 0, 0, 0, 0, 0, 1, 2021-08-18 13:01:36.166346
0, 6, 5, 3, 2, 2, 2, 0, 2021-08-18 13:01:36.179347
0, 1, -2, -1, -1, -3, -1, 1, 2021-08-18 13:01:36.179347
-4, -6, -7, -5, -3, 0, -2, -3, 2021-08-18 13:01:36.187346
-1, -7, -5, -6, -6, -3, -2, -2, 2021-08-18 13:01:36.187346
-1, 5, 5, 7, 5, 4, 3, 4, 2021-08-18 13:01:36.202371
0, 1, -2, -1, -1, -2, -1, -1, 2021-08-18 13:01:36.202371
-1, -3, 1, -1, -1, -1, -1, -1, 2021-08-18 13:01:36.203371
-1, 0, -1, 0, -1, -2, -2, -1, 2021-08-18 13:01:36.203371
-5, -2, -3, -3, -4, -4, -3, -4, 2021-08-18 13:01:36.225371
1, 1, -1, -1, 0, -1, -1, 0, 2021-08-18 13:01:36.225371
0, 0, -1, -2, -1, 0, 1, 2, 2021-08-18 13:01:36.225371
-1, -2, 1, 2, 1, -1, 0, -1, 2021-08-18 13:01:36.226372
-2, 0, -4, -4, -5, -2, -4, -5, 2021-08-18 13:01:36.248371
1, 2, 3, 0, 1, -2, -2, 0, 2021-08-18 13:01:36.248371
-1, -2, -2, -3, -1, 0, -1, -1, 2021-08-18 13:01:36.248371
