EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
-12, 1, -2, -2, 0, -2, -2, 0, 2021-08-20 18:14:58.260508
-2, 8, 2, 0, -1, 1, -1, -3, 2021-08-20 18:14:58.273508
2, -3, 2, -1, 0, 0, -2, -1, 2021-08-20 18:14:58.273508
-5, -6, -4, -4, 0, -1, -1, -1, 2021-08-20 18:14:58.275508
1, 2, 2, 0, -1, 1, 1, 0, 2021-08-20 18:14:58.275508
-18, -1, -3, -1, -2, 0, -1, 1, 2021-08-20 18:14:58.296508
20, -2, 2, -1, -2, 0, 0, 2, 2021-08-20 18:14:58.296508
4, 5, 6, -2, -2, 0, -2, 0, 2021-08-20 18:14:58.298507
1, -3, -5, -4, 0, 0, 0, -2, 2021-08-20 18:14:58.298507
-22, -5, -3, -1, -1, -2, -3, -2, 2021-08-20 18:14:58.310508
8, -14, -2, 2, 1, 1, 1, 1, 2021-08-20 18:14:58.310508
-3, -1, -4, -5, -2, -2, -3, -2, 2021-08-20 18:14:58.316508
5, -1, -1, -1, 0, 0, 0, 0, 2021-08-20 18:14:58.317508
-5, 0, 2, 0, -2, -2, 0, -1, 2021-08-20 18:14:58.333507
-10, -7, -6, 0, 0, -1, -1, -2, 2021-08-20 18:14:58.334508
-1, 8, 7, 2, 2, -1, -1, 1, 2021-08-20 18:14:58.339507
9, -3, 0, 0, -1, -1, -2, -1, 2021-08-20 18:14:58.339507
-7, -1, -1, -2, -2, 1, 0, 0, 2021-08-20 18:14:58.356507
5, 3, -2, -2, -2, -1, -2, 1, 2021-08-20 18:14:58.357508
5, -1, -1, 0, 0, 0, 1, 1, 2021-08-20 18:14:58.358508
-7, 0, -2, -2, -3, -3, -3, -3, 2021-08-20 18:14:58.358508
2, -2, -1, -2, -1, -1, 0, -3, 2021-08-20 18:14:58.370507
-4, -4, -4, 0, 0, -3, -1, -3, 2021-08-20 18:14:58.370507
-9, -10, -6, -1, 1, 2, 0, 0, 2021-08-20 18:14:58.378508
19, 21, 10, 2, 1, 0, -1, 1, 2021-08-20 18:14:58.378508
4, -3, -6, -4, -2, -5, -2, 2, 2021-08-20 18:14:58.393508
-22, 1, 0, -1, -2, -3, 0, -2, 2021-08-20 18:14:58.393508
3, -2, -4, -2, 0, 0, -2, -2, 2021-08-20 18:14:58.394507
-11, -9, -5, 1, -1, 1, -3, -1, 2021-08-20 18:14:58.395508
5, 6, 2, -1, 1, 2, 0, -1, 2021-08-20 18:14:58.415508
1, 2, 0, -3, 0, -1, -2, 0, 2021-08-20 18:14:58.415508
-4, 9, 3, 1, -1, -2, 0, 0, 2021-08-20 18:14:58.422508
0, -5, -1, -1, 0, -1, 0, 1, 2021-08-20 18:14:58.422508
