EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-4,-6,11,-7,3,3,0,0,2021-08-06 17:21:01.289468
-1,4,-33,4,3,0,-3,-3,2021-08-06 17:21:01.289468
-4,-6,-23,-19,-2,-1,-1,-3,2021-08-06 17:21:01.290467
4,18,31,13,-1,2,-1,1,2021-08-06 17:21:01.290467
-5,-12,-6,2,-1,-3,-3,-5,2021-08-06 17:21:01.290467
-7,-10,-71,-30,-5,-4,-3,-4,2021-08-06 17:21:01.291468
-2,2,30,26,3,2,0,-4,2021-08-06 17:21:01.291468
2,-4,-13,-22,-4,-4,-1,2,2021-08-06 17:21:01.291468
3,7,-5,11,1,-1,1,1,2021-08-06 17:21:01.296501
-4,3,45,21,2,3,-1,-2,2021-08-06 17:21:01.296501
2,5,-10,-41,-3,-4,-4,2,2021-08-06 17:21:01.302466
2,-13,-69,18,-4,-4,-2,1,2021-08-06 17:21:01.302466
-11,5,-75,-19,-4,-2,0,-2,2021-08-06 17:21:01.317466
-2,3,10,-5,2,-1,-3,-3,2021-08-06 17:21:01.317466
1,-3,11,22,-1,0,2,2,2021-08-06 17:21:01.327466
-2,4,69,9,5,2,0,-1,2021-08-06 17:21:01.327466
4,5,-2,-10,-3,0,3,2,2021-08-06 17:21:01.343466
3,-3,-10,4,0,-2,0,-3,2021-08-06 17:21:01.343466
-6,-6,32,13,-1,-1,-2,-2,2021-08-06 17:21:01.355500
1,3,-78,-23,-4,-3,0,1,2021-08-06 17:21:01.355500
1,14,-17,9,3,1,1,-2,2021-08-06 17:21:01.395501
2,-5,39,26,2,1,-1,3,2021-08-06 17:21:01.395501
3,2,31,33,-2,-1,1,1,2021-08-06 17:21:01.396466
-4,-13,3,-34,1,1,-1,-3,2021-08-06 17:21:01.396466
-7,-9,28,10,1,2,-3,-5,2021-08-06 17:21:01.397469
-2,-12,-19,1,-6,-4,-3,0,2021-08-06 17:21:01.397469
5,4,-6,4,-1,-1,-1,2,2021-08-06 17:21:01.400467
-5,3,8,11,-2,-2,0,-1,2021-08-06 17:21:01.400467
1,-12,30,2,4,1,2,1,2021-08-06 17:21:01.406501
-1,-6,-11,1,-5,-2,-1,-2,2021-08-06 17:21:01.407466
-3,12,32,-29,-4,-4,-2,-2,2021-08-06 17:21:01.415466
2,8,45,3,0,-1,-3,-3,2021-08-06 17:21:01.415466
-7,-9,-48,-23,1,-1,2,-4,2021-08-06 17:21:01.421500
2,3,-39,3,-5,-1,-6,2,2021-08-06 17:21:01.422466
-1,-8,37,-1,1,3,2,-1,2021-08-06 17:21:01.437499
3,5,33,13,3,1,0,1,2021-08-06 17:21:01.437499
3,9,18,15,-3,-3,-1,3,2021-08-06 17:21:01.444492
-1,-13,0,-24,3,-1,0,-3,2021-08-06 17:21:01.444492
3,19,-4,-4,0,-1,0,1,2021-08-06 17:21:01.468466
-1,-5,17,6,3,1,0,-1,2021-08-06 17:21:01.468466
4,2,15,3,-3,0,-2,0,2021-08-06 17:21:01.469466
4,15,-6,5,2,2,3,4,2021-08-06 17:21:01.469466
-3,-16,-36,5,-1,1,-4,-1,2021-08-06 17:21:01.483466
-2,7,-15,4,-4,-1,-1,-2,2021-08-06 17:21:01.483466
-4,-10,-68,2,-6,-7,-4,-1,2021-08-06 17:21:01.484466
-2,-3,-9,-6,-2,-1,-1,0,2021-08-06 17:21:01.485501
-9,-33,-46,-16,-1,1,-1,-4,2021-08-06 17:21:01.505500
4,11,25,40,0,-1,0,2,2021-08-06 17:21:01.506466
-5,1,-73,-27,-5,-5,-5,-4,2021-08-06 17:21:01.507467
-3,14,12,12,-3,0,2,-2,2021-08-06 17:21:01.507467
1,-27,16,-8,2,-1,0,2,2021-08-06 17:21:01.528466
3,10,-13,19,-5,-2,-1,0,2021-08-06 17:21:01.528466
0,22,31,-17,6,6,-2,0,2021-08-06 17:21:01.529466
-4,-13,-7,-41,-4,0,-3,-2,2021-08-06 17:21:01.530466
2,17,-9,10,0,-1,1,2,2021-08-06 17:21:01.543466
-2,-4,2,-12,0,0,-1,-2,2021-08-06 17:21:01.543466
0,-12,-9,15,-2,0,0,-1,2021-08-06 17:21:01.545466
4,7,16,-11,0,-4,3,1,2021-08-06 17:21:01.545466
-1,25,13,26,0,0,-7,-2,2021-08-06 17:21:01.565501
-4,-7,-51,-19,1,-1,-4,-3,2021-08-06 17:21:01.565501
2,-10,3,-1,0,1,4,1,2021-08-06 17:21:01.567466
-2,35,30,13,2,3,2,-1,2021-08-06 17:21:01.567466
3,10,-56,-2,-2,-2,0,-1,2021-08-06 17:21:01.588467
-1,-4,25,-1,-1,-1,-1,-2,2021-08-06 17:21:01.588467
1,-2,41,13,-1,-1,-2,-2,2021-08-06 17:21:01.589467
2,9,-40,-31,-6,-3,0,1,2021-08-06 17:21:01.590467
-1,1,13,-13,1,-1,-1,-1,2021-08-06 17:21:01.603466
-3,-18,-5,-11,-3,-3,-2,-1,2021-08-06 17:21:01.603466
0,4,35,18,0,-2,1,2,2021-08-06 17:21:01.605466
5,9,33,0,2,0,-2,-3,2021-08-06 17:21:01.605466
0,-13,27,-1,-1,-2,1,-2,2021-08-06 17:21:01.625500
1,-7,-11,37,2,2,1,-1,2021-08-06 17:21:01.626468
-8,-11,-24,-67,-4,-4,-1,0,2021-08-06 17:21:01.627499
4,-4,-16,31,-2,-1,0,3,2021-08-06 17:21:01.627499
