EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-2,-4,4,-1,-6,-4,0,-3,2021-08-06 17:32:04.885097
-4,-6,-1,-3,-5,2,-7,-2,2021-08-06 17:32:04.886097
-4,-4,3,-5,-2,-2,3,-3,2021-08-06 17:32:04.890097
-4,-5,2,-2,1,1,-1,1,2021-08-06 17:32:04.890097
-3,-2,-4,0,1,0,1,3,2021-08-06 17:32:04.890097
4,3,1,0,-6,-1,1,-3,2021-08-06 17:32:04.891099
1,-4,-1,-5,-2,1,0,1,2021-08-06 17:32:04.891099
0,-3,-1,0,-1,3,3,0,2021-08-06 17:32:04.891099
3,2,5,0,3,0,0,-2,2021-08-06 17:32:04.896098
-1,0,1,0,-2,-1,-2,-1,2021-08-06 17:32:04.896098
-1,-4,1,2,5,0,-1,3,2021-08-06 17:32:04.911097
-4,-2,-7,-1,0,-3,-3,2,2021-08-06 17:32:04.911097
-1,1,1,-1,-1,-4,1,2,2021-08-06 17:32:04.918102
0,-1,-2,4,1,-2,0,5,2021-08-06 17:32:04.919096
1,4,-3,-4,1,-5,-3,2,2021-08-06 17:32:04.927098
-1,3,0,-1,-1,1,2,2,2021-08-06 17:32:04.928097
-1,-3,0,-3,-1,-3,-1,0,2021-08-06 17:32:04.942122
1,4,-1,-3,-1,-1,13,5,2021-08-06 17:32:04.942122
-5,-2,-5,-3,0,-1,2,-1,2021-08-06 17:32:04.948128
1,3,3,5,0,0,6,-25,2021-08-06 17:32:04.949129
0,-2,-1,-2,-3,0,-6,-7,2021-08-06 17:32:04.956129
1,-3,0,-2,5,0,-7,6,2021-08-06 17:32:04.956129
5,-2,3,2,1,-3,-3,10,2021-08-06 17:32:04.971128
-2,-3,-4,-6,-5,-2,-1,19,2021-08-06 17:32:04.971128
8,-1,-3,1,2,-1,2,20,2021-08-06 17:32:04.978129
-1,1,-2,0,1,-3,1,6,2021-08-06 17:32:04.979129
1,2,-2,-1,1,-1,3,2,2021-08-06 17:32:04.987129
-2,-5,0,-2,3,-4,-11,-11,2021-08-06 17:32:04.987129
-4,-3,-1,3,2,2,-4,-16,2021-08-06 17:32:05.002128
-1,-2,0,-1,-1,3,-3,-13,2021-08-06 17:32:05.002128
