Timestamp,Milliseconds,Angle,Angular Velocity
12:15:44.559505,559505,146.79950855375324,262.37389934630295
12:15:44.563505,563505,143.6892308461938,777.5694268898618
12:15:44.567502,567502,142.8907141682155,199.77900374738167
12:15:44.571502,571502,141.33071520899873,389.9997398041961
12:15:44.575513,575513,141.5466719641303,53.841125687253
12:15:44.579507,579507,137.20324435693735,1087.4881339992364
12:15:44.584479,584479,138.22545493456064,205.59343878183788
12:15:44.588479,588479,139.40720345808327,295.43713088065715
12:15:44.592479,592479,138.25386586541003,288.33439816830975
12:15:44.596503,596503,143.68768533089045,1350.3527498708777
12:15:44.600504,600504,143.91003000312043,55.57227498874776
12:15:44.604502,604502,144.20376256211287,73.46987468545412
12:15:44.609480,609480,145.6267697184854,285.85921180645533
12:15:44.613515,613515,149.19947952305282,885.4299391740791
12:15:44.617516,617516,149.67415549434543,118.63933298990554
12:15:44.621505,621505,151.4888688386858,454.92939191285075
12:15:44.625503,625503,152.75760682466583,317.34316807904924
12:15:44.630479,630479,155.37080170168613,525.15974216646
12:15:44.634520,634520,153.60026773166084,438.1425315578564
12:15:44.638479,638479,154.32439714812972,182.90715242962463
12:15:44.642513,642513,156.39742214438928,513.8881993702435
12:15:44.646514,646514,156.4524332403546,13.749336657163836
12:15:44.650477,650477,155.35364271662993,277.26230727344415
12:15:44.654479,654479,155.48890188879793,33.79789409495038
12:15:44.659506,659506,154.4246379502569,211.70955610523527
12:15:44.663514,663514,155.39797934434986,242.8496492247892
12:15:44.667514,667514,155.75439133662576,89.1029980689737
12:15:44.671513,671513,155.108772456798,161.4450812272481
12:15:44.675480,675480,155.5664923408012,115.38187144018428
12:15:44.680479,680479,157.25301981028124,337.37296848970607
12:15:44.684516,684516,156.36075063747165,221.0228320063392
12:15:44.688479,688479,156.618566899472,65.05583194558334
12:15:44.692513,692513,155.33039587886446,319.3284632145601
12:15:44.696517,696517,154.56985619525489,189.94497592646835
12:15:44.700518,700518,155.95504006491376,346.2094150609533
12:15:44.705479,705479,154.46820040724913,299.7056354897464
12:15:44.709517,709517,155.30865298256015,208.13585322214445
12:15:44.713477,713477,155.45111485018845,35.975219098055284
12:15:44.717513,717513,154.49026635254438,238.0694989207297
12:15:44.721517,721517,153.3937658633504,273.8512710274654
12:15:44.725513,725513,151.2187368007783,544.3015672102407
12:15:44.729514,729514,148.6392375792797,644.7136269679064
12:15:44.734478,734478,149.48105636989823,169.58476845659396
12:15:44.738478,738478,148.48207761970656,249.744687547917
12:15:44.742520,742520,150.31592698899792,453.6985079889553
12:15:44.746535,746535,150.10448027914276,52.66418676342538
12:15:44.750480,750480,147.3411971260921,700.4520033081498
12:15:44.755479,755479,144.0319318621498,661.9854498784373
12:15:44.759480,759480,145.8797996503109,461.85148416923175
12:15:44.763514,763514,145.67022091707787,51.95308211031986
12:15:44.767480,767480,147.0215619579832,340.73147778752883
12:15:44.771479,771479,147.13054960560552,27.253725336912716
12:15:44.775504,775504,146.09292412628383,257.7951501420348
12:15:44.779505,779505,145.4909745804437,150.44977401653142
12:15:44.784480,784480,147.52184891830854,408.2159473095164
12:15:44.788514,788514,143.54822902445247,985.0321997660058
12:15:44.792515,792515,143.99252343965713,111.04584234058144
12:15:44.796517,796517,145.348896521744,338.9238086174066
12:15:44.800479,800479,147.18212368042123,462.70246306845837
12:15:44.804516,804516,147.90567014878653,179.22875114324975
12:15:44.809514,809514,146.84537480287398,212.14392675321133
12:15:44.813514,813514,146.90774096716882,15.591541073710857
12:15:44.817515,817515,145.88920210039706,254.57107392445968
12:15:44.821519,821519,147.00308503698676,278.19254160582017
12:15:44.825514,825514,146.957926775694,11.303694941866143
12:15:44.830479,830479,147.30983421554566,70.87763139006204
12:15:44.834482,834482,145.4557166034737,463.18201650561434
12:15:44.838516,838516,146.2810920063585,204.6047106804205
12:15:44.842515,842515,142.83819849954412,860.9386113564356
12:15:44.846515,846515,138.7182201291337,1029.9945926026055
12:15:44.850514,850514,130.94904549796308,1942.7793526308112
12:15:44.855479,855479,125.96864708280376,1003.1013927813351
12:15:44.859513,859513,130.77221561058053,1190.7705819972175
12:15:44.863516,863516,133.6313780983808,714.2549307520015
12:15:44.867480,867480,140.34942170772257,1694.7637763223454
12:15:44.871514,871514,142.10889753355605,436.1615830028449
12:15:44.875480,875480,140.9785762846031,285.0028363471893
12:15:44.880479,880479,143.63408498928433,531.2079825327544
12:15:44.884518,884518,139.40093923111482,1048.0677787000527
12:15:44.888478,888478,142.0532257254704,669.7693167564629
12:15:44.892521,892521,142.07783619204793,6.087179465128255
12:15:44.896515,896515,140.08111054396912,499.93130898317673
12:15:44.900515,900515,142.0042618946217,480.7878376631436
12:15:44.904515,904515,143.3833162958633,344.7636003104009
12:15:44.909516,909516,143.2352300082228,29.611335261046907
12:15:44.913517,913517,145.60220547398563,591.5959674488464
12:15:44.917514,917514,145.54457475375355,14.418493928467196
12:15:44.921514,921514,149.20816045488178,915.8964252820567
12:15:44.925514,925514,147.56446030500626,410.92503746887843
12:15:44.930479,930479,148.37304337176354,162.8566096187874
12:15:44.934513,934513,148.5935185392754,54.65423091518699
12:15:44.938514,938514,147.37813363387642,303.77028377880316
12:15:44.942514,942514,148.27816554468916,225.0079777031857
12:15:44.946514,946514,148.74315682764538,116.24782073905493
12:15:44.950515,950515,148.33076257466917,103.07279504529198
12:15:44.955480,955480,148.24083761853984,18.111773641354112
12:15:44.959479,959479,149.39113819708098,287.64705639938353
12:15:44.963507,963507,148.29621496445665,271.82801207158013
12:15:44.967504,967504,147.3601685198581,234.18725158833124
