EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
1, -1, -1, -3, -2, -5, -6, -3, 2021-08-24 19:31:28.246021
-1, 1, -1, 0, -2, -1, -2, -1, 2021-08-24 19:31:28.247021
-1, 1, 0, 0, 1, -1, 0, 1, 2021-08-24 19:31:28.247021
-1, -1, -2, 0, 0, 4, 3, 1, 2021-08-24 19:31:28.260054
1, -1, 0, -1, 1, 3, 4, 2, 2021-08-24 19:31:28.260054
-2, -1, -1, -3, -5, -6, -9, -6, 2021-08-24 19:31:28.261055
0, 1, -2, 1, -1, 0, 0, -1, 2021-08-24 19:31:28.261055
0, -1, 0, -1, -1, -1, 0, -1, 2021-08-24 19:31:28.283015
0, -1, -1, -2, 0, 4, 5, 1, 2021-08-24 19:31:28.283015
-1, -2, -2, -2, -1, -3, -3, 1, 2021-08-24 19:31:28.283015
0, -2, -1, -1, 0, -4, -3, -2, 2021-08-24 19:31:28.284016
-3, -2, -1, -1, -4, -7, -3, -5, 2021-08-24 19:31:28.306012
0, 0, 1, 0, -2, 0, -1, 0, 2021-08-24 19:31:28.306012
1, 1, -1, -1, -1, 4, 3, 1, 2021-08-24 19:31:28.306012
0, 2, 2, 1, 3, 9, 10, 3, 2021-08-24 19:31:28.307014
-1, -3, -1, -2, -5, -14, -16, -5, 2021-08-24 19:31:28.328010
-3, -4, -3, -4, -6, -11, -10, -7, 2021-08-24 19:31:28.329012
0, 0, -1, -1, -2, 1, 1, 0, 2021-08-24 19:31:28.329012
1, 0, 0, -2, -1, 0, 2, 3, 2021-08-24 19:31:28.329012
1, 0, 0, -1, 1, 4, 6, 0, 2021-08-24 19:31:28.343010
1, 1, 0, 1, 3, 3, 4, 3, 2021-08-24 19:31:28.343010
-1, 1, 0, 1, 0, -2, 1, -1, 2021-08-24 19:31:28.343010
-4, -3, -3, -4, -5, -9, -12, -5, 2021-08-24 19:31:28.344009
-1, -1, -1, -1, 0, -1, -3, -1, 2021-08-24 19:31:28.366010
0, 0, -1, -1, 0, -1, 0, 0, 2021-08-24 19:31:28.366010
-1, -1, -1, 1, 0, 1, 3, 2, 2021-08-24 19:31:28.367005
0, -1, -1, 0, 0, 2, 0, 0, 2021-08-24 19:31:28.367005
-1, -1, -1, -2, 0, 2, 2, 0, 2021-08-24 19:31:28.380005
-1, 1, 0, 1, 1, 1, -1, -1, 2021-08-24 19:31:28.380005
-2, -3, -3, -2, -1, -5, -6, -4, 2021-08-24 19:31:28.388002
-1, 0, -1, -1, -3, -6, -6, -2, 2021-08-24 19:31:28.388002
0, 0, -1, 1, 1, 2, 2, 0, 2021-08-24 19:31:28.403000
1, -1, -1, -1, 1, 3, 3, 2, 2021-08-24 19:31:28.403000
-1, 0, 1, -3, -2, -5, -5, -1, 2021-08-24 19:31:28.403000
1, -1, -2, -1, -1, -1, 0, -1, 2021-08-24 19:31:28.403000
1, 1, 1, 1, 2, 6, 7, 3, 2021-08-24 19:31:28.425998
0, -2, -3, -1, 0, -1, -1, -1, 2021-08-24 19:31:28.425998
-2, -1, -1, -1, -3, -7, -7, -4, 2021-08-24 19:31:28.426997
-2, -1, 0, -2, -1, -3, -2, -3, 2021-08-24 19:31:28.426997
0, -2, -2, 1, -2, -1, 0, 2, 2021-08-24 19:31:28.439996
0, 0, -1, 1, 0, -2, -2, -1, 2021-08-24 19:31:28.439996
-3, -3, -2, -4, -3, -1, 0, -3, 2021-08-24 19:31:28.447995
0, -1, -1, -1, -2, 0, -2, -2, 2021-08-24 19:31:28.447995
1, 0, -1, 0, 1, 5, 3, 0, 2021-08-24 19:31:28.462993
0, -1, 2, -2, -2, 2, 1, 1, 2021-08-24 19:31:28.462993
-1, 0, 0, -1, -1, -3, -2, -2, 2021-08-24 19:31:28.462993
2, 1, 1, 1, 1, 2, 5, 4, 2021-08-24 19:31:28.463993
-4, -4, -4, -5, -4, -3, -4, -4, 2021-08-24 19:31:28.485989
-2, 0, -1, -1, -2, -2, 0, 0, 2021-08-24 19:31:28.485989
-1, -2, 1, 0, 0, -3, -9, -2, 2021-08-24 19:31:28.486990
-2, -2, -2, 0, 0, 1, 0, 1, 2021-08-24 19:31:28.486990
-1, -1, -1, 1, -1, -5, -3, -1, 2021-08-24 19:31:28.499988
0, -2, -2, 0, 0, 6, 8, 2, 2021-08-24 19:31:28.499988
1, 0, -1, -1, 1, 5, 4, 1, 2021-08-24 19:31:28.507987
-2, 0, 0, -1, -2, -9, -11, -3, 2021-08-24 19:31:28.507987
-1, -1, 0, -3, -1, -4, -2, -2, 2021-08-24 19:31:28.522984
-2, -2, -1, 0, 0, -3, -1, -3, 2021-08-24 19:31:28.522984
1, 0, 0, 0, 1, 4, 5, 2, 2021-08-24 19:31:28.522984
-1, 0, -1, 1, 1, 5, 8, 2, 2021-08-24 19:31:28.523985
