Timestamp,Milliseconds,Angle
12:28:58.317437,317437,123.36387375941952
12:28:58.321438,321438,123.3584827602738
12:28:58.326438,326438,123.36403351883247
12:28:58.330436,330436,123.365096681503
12:28:58.334437,334437,123.36308645866632
12:28:58.338438,338438,123.3702981913539
12:28:58.342439,342439,123.36907230071648
12:28:58.346438,346438,123.37000114260059
12:28:58.351437,351437,123.37325654357065
12:28:58.355437,355437,123.37018915870792
12:28:58.359438,359438,123.36882597105598
12:28:58.363953,363953,123.3654961458137
12:28:58.367951,367951,123.36305274450069
12:28:58.371953,371953,123.3636388547537
12:28:58.376481,376481,123.36867929713259
12:28:58.379975,379975,123.36877404503863
12:28:58.384983,384983,123.36233095937945
12:28:58.388984,388984,123.36136867073743
12:28:58.392982,392982,123.35794204754627
12:28:58.397024,397024,123.36205203796202
12:28:58.401026,401026,123.36037493693998
12:28:58.405022,405022,123.36139550454521
12:28:58.408983,408983,123.36035779998065
12:28:58.413983,413983,123.36363958808252
12:28:58.417983,417983,123.3651632978778
12:28:58.421984,421984,123.36936406694771
12:28:58.425983,425983,123.36915903421726
12:28:58.429983,429983,123.37035651082374
12:28:58.433983,433983,123.36909887072153
12:28:58.437989,437989,123.36381666960808
12:28:58.442985,442985,123.36733381401254
12:28:58.446984,446984,123.36534325071052
12:28:58.450982,450982,123.36027213341569
12:28:58.454983,454983,123.36303837412851
12:28:58.458982,458982,123.35633849006224
12:28:58.463983,463983,123.36062641034533
12:28:58.467982,467982,123.3602707941927
12:28:58.471982,471982,123.36002577533606
12:28:58.475983,475983,123.3610484911361
12:28:58.479982,479982,123.35844893803046
12:28:58.483982,483982,123.35700051247049
12:28:58.488983,488983,123.36302069091685
12:28:58.492982,492982,123.36302459776934
12:28:58.496983,496983,123.366477036516
12:28:58.500986,500986,123.37174701788311
12:28:58.504984,504984,123.36718459715603
12:28:58.508985,508985,123.37016596109187
12:28:58.513985,513985,123.36976604345149
12:28:58.517987,517987,123.36881211041776
12:28:58.521985,521985,123.3706666643507
12:28:58.525985,525985,123.36174349973395
12:28:58.529985,529985,123.36347605505088
12:28:58.533987,533987,123.35960715964696
12:28:58.538985,538985,123.36472906106681
12:28:58.542984,542984,123.36530098168531
12:28:58.546985,546985,123.36282158887947
12:28:58.550985,550985,123.36137324926767
12:28:58.554987,554987,123.35618422596849
12:28:58.558984,558984,123.35741094905988
12:28:58.563985,563985,123.36235171123897
12:28:58.567984,567984,123.36590362230875
12:28:58.571985,571985,123.36611334768945
12:28:58.575985,575985,123.36100563246255
12:28:58.579985,579985,123.36505202650042
12:28:58.583985,583985,123.36405273989605
12:28:58.588985,588985,123.3592881005783
12:28:58.592985,592985,123.36000847229735
12:28:58.596985,596985,123.36154985723867
12:28:58.600985,600985,123.36423600260648
12:28:58.604986,604986,123.36511878240673
12:28:58.608985,608985,123.36458737569387
12:28:58.613986,613986,123.36539878005952
12:28:58.617985,617985,123.36499822291518
12:28:58.621985,621985,123.36616995929941
12:28:58.625986,625986,123.36901846328045
12:28:58.629987,629987,123.36308209084966
12:28:58.633985,633985,123.35666385606778
12:28:58.638985,638985,123.36157730322712
12:28:58.642986,642986,123.36313736085141
12:28:58.646984,646984,123.3635909948782
12:28:58.650983,650983,123.35970437232608
12:28:58.654983,654983,123.35973458508293
12:28:58.658983,658983,123.36068532625046
12:28:58.664025,664025,123.36686626047245
12:28:58.668020,668020,123.37049077408555
12:28:58.672024,672024,123.36881612465895
12:28:58.676021,676021,123.37100138388524
12:28:58.679983,679983,123.368764963827
12:28:58.683982,683982,123.36880646219676
12:28:58.688983,688983,123.36790882872614
12:28:58.693021,693021,123.36112903101073
12:28:58.697022,697022,123.37208601892935
12:28:58.701024,701024,123.37063600001952
12:28:58.704986,704986,123.36767230672139
12:28:58.708984,708984,123.36228128408798
12:28:58.713983,713983,123.37171381597315
12:28:58.717982,717982,123.37373154423629
12:28:58.722021,722021,123.38228172417121
12:28:58.725985,725985,123.38134612654177
12:28:58.730021,730021,123.3741488359463
12:28:58.733986,733986,123.36801451240675
12:28:58.739008,739008,123.37024709021757
12:28:58.742985,742985,123.3639900659696
12:28:58.746986,746986,123.35940164598598
12:28:58.750983,750983,123.35648679956476
12:28:58.755011,755011,123.35844151689696
12:28:58.759010,759010,123.35745144915964
12:28:58.763983,763983,123.36128230004621
12:28:58.767985,767985,123.35682531231083
12:28:58.771986,771986,123.35678490089177
12:28:58.775586,775586,123.36329003724747
12:28:58.780608,780608,123.36796996814618
12:28:58.784588,784588,123.36759658144427
12:28:58.788586,788586,123.36918256293723
12:28:58.792588,792588,123.37214402144062
12:28:58.796628,796628,123.37375030906844
12:28:58.800590,800590,123.36882536095997
12:28:58.805587,805587,123.36784362719389
12:28:58.809588,809588,123.36725058435219
12:28:58.813587,813587,123.36580189347936
12:28:58.817588,817588,123.36492765164996
12:28:58.821625,821625,123.3625224789836
12:28:58.826590,826590,123.36527608430491
12:28:58.830588,830588,123.36597354684854
12:28:58.834614,834614,123.36140471615806
12:28:58.838587,838587,123.3672353344198
12:28:58.842586,842586,123.36932902503074
12:28:58.846588,846588,123.36704601562096
12:28:58.850586,850586,123.3668566795198
12:28:58.855585,855585,123.37108017962878
12:28:58.859585,859585,123.37249991539052
12:28:58.863585,863585,123.37214120392608
12:28:58.867586,867586,123.36676798795166
12:28:58.871585,871585,123.36947378045444
12:28:58.875585,875585,123.36871346946917
12:28:58.880585,880585,123.37382005647581
12:28:58.884585,884585,123.3707199325753
12:28:58.888585,888585,123.36658457885382
12:28:58.892585,892585,123.37372263108385
12:28:58.896585,896585,123.37314287449638
12:28:58.900624,900624,123.37018063170405
12:28:58.905614,905614,123.36984893368539
12:28:58.909615,909615,123.3705116938669
12:28:58.913608,913608,123.36707329293694
12:28:58.917623,917623,123.36724342594383
12:28:58.921587,921587,123.36144272303358
12:28:58.925588,925588,123.36220574828529
12:28:58.930625,930625,123.36336499037596
12:28:58.934588,934588,123.36289300131378
12:28:58.938589,938589,123.36653994574513
12:28:58.942587,942587,123.36264680443486
12:28:58.946587,946587,123.35998964434565
12:28:58.950598,950598,123.36328031665835
12:28:58.954636,954636,123.36152222423526
12:28:58.959630,959630,123.36256727551694
12:28:58.963589,963589,123.3591430467161
12:28:58.967628,967628,123.36051506362497
12:28:58.971636,971636,123.36341449682165
12:28:58.975638,975638,123.36812515254134
12:28:58.979587,979587,123.3646660275816
12:28:58.984628,984628,123.36148232196011
12:28:58.988639,988639,123.35489423313399
12:28:58.992637,992637,123.35505559397131
12:28:58.996624,996624,123.35996518404485
12:28:59.000640,000640,123.36376509306454
12:28:59.005625,005625,123.3700097922264
12:28:59.009638,009638,123.37022548377001
12:28:59.013624,013624,123.36277699063236
