Timestamp,Milliseconds,Angle,Angular Velocity
12:31:53.057363,057363,163.4395294189453,20.89569091796875
12:31:53.133363,133363,163.4395294189453,20.89569091796875
12:31:53.416363,416363,142.8438262939453,85.8154296875
12:31:53.472363,472363,142.8438262939453,85.8154296875
12:31:53.491363,491363,122.47537231445312,81.47381591796875
12:31:54.120364,120364,115.35301971435547,29.676467895507812
12:31:54.220366,220366,115.35301971435547,29.676467895507812
12:31:54.286364,286364,118.88874816894531,14.73220157623291
12:31:54.834365,834365,118.23237609863281,1.773978590965271
12:31:54.854364,854364,118.23237609863281,1.773978590965271
12:31:54.880364,880364,118.23237609863281,1.773978590965271
12:31:55.585937,585937,118.23237609863281,1.773978590965271
12:31:55.613937,613937,118.23237609863281,1.773978590965271
12:31:55.630935,630935,118.23237609863281,1.773978590965271
12:31:56.290982,290982,118.23237609863281,1.773978590965271
12:31:56.379985,379985,118.23237609863281,1.773978590965271
12:31:56.391984,391984,108.27546691894531,36.87744140625
12:31:57.098982,098982,108.27546691894531,36.87744140625
12:31:57.196980,196980,108.27546691894531,36.87744140625
12:31:57.230984,230984,110.69078826904297,7.103886127471924
12:31:57.798982,798982,115.4999771118164,18.49688148498535
12:31:57.930982,930982,115.4999771118164,18.49688148498535
12:31:57.962985,962985,155.5468292236328,148.32167053222656
12:31:58.562983,562983,163.03448486328125,27.732057571411133
12:31:58.696981,696981,163.03448486328125,27.732057571411133
12:31:58.795984,795984,166.84092712402344,17.30200958251953
12:31:59.215984,215984,159.9428253173828,27.5924072265625
12:31:59.260982,260982,159.9428253173828,27.5924072265625
12:31:59.325985,325985,159.9428253173828,27.5924072265625
