EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
0,-2,-1,0,-1,-1,-2,1,2021-08-06 13:28:44.556627
-2,-2,-1,-1,-2,0,-1,-2,2021-08-06 13:28:44.556627
-1,-1,-1,0,-2,-1,-2,-1,2021-08-06 13:28:44.563628
-1,0,0,-1,-2,-1,-2,-1,2021-08-06 13:28:44.563628
-2,-1,-1,0,-1,0,1,-2,2021-08-06 13:28:44.578628
-1,0,-1,0,-1,-2,-2,1,2021-08-06 13:28:44.578628
-1,-3,-1,-2,0,-1,-2,0,2021-08-06 13:28:44.586627
-2,-1,-2,-1,-1,0,-1,0,2021-08-06 13:28:44.586627
0,-2,-2,0,-1,-2,-2,0,2021-08-06 13:28:44.601627
-2,0,-1,0,0,-1,1,0,2021-08-06 13:28:44.602629
-2,0,0,0,0,-1,-1,1,2021-08-06 13:28:44.602629
0,-1,-1,-3,0,1,-2,0,2021-08-06 13:28:44.602629
-2,0,0,0,-1,-1,0,-2,2021-08-06 13:28:44.624628
0,0,-1,0,0,-1,-2,-2,2021-08-06 13:28:44.624628
0,-1,1,0,0,-1,-1,-2,2021-08-06 13:28:44.624628
0,-1,-1,-1,-1,0,0,-1,2021-08-06 13:28:44.625630
1,-1,0,-1,-2,0,-2,0,2021-08-06 13:28:44.638627
-1,-1,-1,-1,0,-1,-2,0,2021-08-06 13:28:44.638627
-2,-1,-1,0,0,0,1,-1,2021-08-06 13:28:44.646626
-2,-1,-1,0,-1,-2,-1,-1,2021-08-06 13:28:44.646626
-1,-2,-2,0,1,-1,0,-3,2021-08-06 13:28:44.661629
-1,0,-1,-2,-1,-1,-1,-1,2021-08-06 13:28:44.661629
-1,0,-2,0,-2,0,-1,-1,2021-08-06 13:28:44.662626
0,-1,-2,-2,-2,0,1,-1,2021-08-06 13:28:44.662626
-2,-1,-1,0,-2,0,-1,1,2021-08-06 13:28:44.675627
-1,-1,-1,-2,-2,-1,-2,-1,2021-08-06 13:28:44.676627
1,-2,-3,-1,-1,-1,-1,-2,2021-08-06 13:28:44.683627
-2,-2,-1,0,2,-1,-1,-1,2021-08-06 13:28:44.683627
-2,-1,-2,-1,1,0,-1,-2,2021-08-06 13:28:44.698627
1,0,-1,-2,-2,-3,-1,0,2021-08-06 13:28:44.698627
-1,0,-1,-3,-1,0,0,0,2021-08-06 13:28:44.706626
-2,-1,-1,-1,-1,-1,-1,0,2021-08-06 13:28:44.707628
1,-2,-3,-1,1,0,-2,0,2021-08-06 13:28:44.721626
-2,-2,-1,0,-1,1,-2,0,2021-08-06 13:28:44.722626
-1,-2,-1,1,1,0,-1,0,2021-08-06 13:28:44.722626
-1,0,-1,0,-1,-1,2,0,2021-08-06 13:28:44.722626
-2,-2,0,0,0,-1,0,-2,2021-08-06 13:28:44.737627
-2,-1,0,0,-1,0,-2,-3,2021-08-06 13:28:44.738628
0,0,-2,-1,-2,-3,-1,0,2021-08-06 13:28:44.743627
2,-1,-1,-2,-2,-1,-1,0,2021-08-06 13:28:44.743627
1,0,-2,-4,-3,-2,1,2,2021-08-06 13:28:44.758629
1,0,-2,-2,0,0,2,4,2021-08-06 13:28:44.758629
-1,0,-2,-1,0,-1,0,0,2021-08-06 13:28:44.766625
-2,-3,0,1,1,0,-2,-4,2021-08-06 13:28:44.767626
-1,-2,1,0,0,0,-2,-3,2021-08-06 13:28:44.781626
-3,-3,0,1,1,-1,-1,-3,2021-08-06 13:28:44.781626
-1,-2,2,0,-1,-1,-4,-1,2021-08-06 13:28:44.782626
-1,-1,0,1,-2,0,-3,-1,2021-08-06 13:28:44.782626
1,0,0,1,-2,-2,0,1,2021-08-06 13:28:44.795625
0,2,-2,-1,-2,-1,1,1,2021-08-06 13:28:44.796627
0,-1,-2,-1,-1,-1,-1,0,2021-08-06 13:28:44.803628
1,0,-1,-2,0,0,-1,-2,2021-08-06 13:28:44.804627
-1,-2,0,-2,1,0,-1,0,2021-08-06 13:28:44.818627
0,-1,-1,0,0,0,1,0,2021-08-06 13:28:44.818627
-1,-1,-1,-1,-1,1,0,-2,2021-08-06 13:28:44.826629
-3,0,-1,-1,-1,0,-1,0,2021-08-06 13:28:44.826629
-1,0,-2,-3,-1,0,-1,0,2021-08-06 13:28:44.841629
0,-2,-1,-2,0,-2,1,0,2021-08-06 13:28:44.841629
-2,-1,0,1,0,0,-1,-2,2021-08-06 13:28:44.842627
0,-3,-1,-1,0,-1,1,0,2021-08-06 13:28:44.842627
-1,-1,-1,1,0,0,-1,-2,2021-08-06 13:28:44.855625
0,0,-1,0,-1,-2,-2,-1,2021-08-06 13:28:44.856627
-1,-1,-3,-1,-1,-1,-2,0,2021-08-06 13:28:44.863631
-1,1,0,-1,-1,0,0,0,2021-08-06 13:28:44.863631
-1,-1,-1,-2,-1,0,-1,-3,2021-08-06 13:28:44.878626
-1,-2,-1,-2,0,0,-2,-3,2021-08-06 13:28:44.878626
0,-1,1,0,-1,0,-2,0,2021-08-06 13:28:44.887629
0,-1,-2,0,-2,-1,0,0,2021-08-06 13:28:44.887629
-1,0,-1,0,1,0,-1,-2,2021-08-06 13:28:44.901628
0,0,-1,-1,-1,0,-1,0,2021-08-06 13:28:44.901628
1,-1,0,-2,-1,0,0,0,2021-08-06 13:28:44.902627
-1,0,0,-1,0,0,-2,0,2021-08-06 13:28:44.902627
-2,-2,-1,1,0,1,0,0,2021-08-06 13:28:44.915625
-2,-1,-1,-2,-2,1,-1,-1,2021-08-06 13:28:44.916626
-3,-1,-2,-1,-1,0,-1,-2,2021-08-06 13:28:44.923627
-2,-1,-1,-1,1,-1,0,-1,2021-08-06 13:28:44.923627
