Timestamp,Milliseconds,Angle,,
,,,,240 per second
,,,,
14:54.2,200022,111.9447437,,
,,,,
14:54.2,204061,111.8677134,,
,,,,
14:54.2,209022,111.9509338,,
,,,,
14:54.2,213074,112.1049807,,
,,,,
14:54.2,217079,112.3709582,,
,,,,
14:54.2,221023,112.3876156,,
,,,,
14:54.2,225023,112.1557798,,
,,,,
14:54.2,229023,112.4930399,,
,,,,
14:54.2,234021,112.1151456,,
,,,,
14:54.2,238023,111.9186641,,
,,,,
14:54.2,242049,111.91291,,
,,,,
14:54.2,246023,111.7185095,,
,,,,
14:54.3,250022,111.5847384,,
,,,,
14:54.3,254073,111.6435146,,
,,,,
14:54.3,259023,111.802133,,
,,,,
14:54.3,263058,111.5615956,,
,,,,
14:54.3,267024,111.6776988,,
,,,,
14:54.3,271022,111.3784428,,
,,,,
14:54.3,275021,111.5865076,,
,,,,
14:54.3,279023,111.4697446,,
,,,,
14:54.3,284021,111.6141681,,
,,,,
14:54.3,288023,111.544138,,
,,,,
14:54.3,292022,111.9110614,,
,,,,
14:54.3,296023,111.8980764,,
,,,,
14:54.3,300022,111.8693408,,
,,,,
14:54.3,304059,111.9037521,,
,,,,
14:54.3,309022,112.0663005,,
,,,,
14:54.3,313066,112.0362088,,
,,,,
14:54.3,317058,111.9053905,,
,,,,
14:54.3,321023,111.810006,,
,,,,
14:54.3,325022,111.875704,,
,,,,
14:54.3,329058,112.0482036,,
,,,,
14:54.3,334022,112.0160585,,
,,,,
14:54.3,338021,111.7864332,,
,,,,
14:54.3,342057,111.7838483,,
,,,,
14:54.3,346022,111.7069046,,
,,,,
14:54.4,350022,111.6874259,,
,,,,
14:54.4,354021,111.9795039,,
,,,,
14:54.4,359022,111.8786051,,
,,,,
14:54.4,363058,112.3017813,,
,,,,
14:54.4,367078,112.1919965,,
,,,,
14:54.4,371022,111.9987821,,
,,,,
14:54.4,375022,112.1085134,,
,,,,
14:54.4,379058,111.8926726,,
,,,,
14:54.4,384042,111.5922143,,
,,,,
14:54.4,388023,111.6321269,,
,,,,
14:54.4,392081,111.884077,,
,,,,
14:54.4,396022,111.8465672,,
,,,,
14:54.4,400023,111.7787125,,
,,,,
14:54.4,404057,111.727404,,
,,,,
14:54.4,409022,111.6218171,,
,,,,
14:54.4,413024,111.9106996,,
,,,,
14:54.4,417021,112.0850211,,
,,,,
14:54.4,421059,111.9665258,,
,,,,
14:54.4,425062,112.190045,,
,,,,
14:54.4,429058,112.2749945,,
,,,,
14:54.4,434022,112.3915515,,
,,,,
14:54.4,438022,112.4638305,,
,,,,
14:54.4,442023,112.4452347,,
,,,,
14:54.4,446023,112.4101841,,
,,,,
14:54.5,450022,112.2612625,,
,,,,
14:54.5,454022,112.3301854,,
,,,,
14:54.5,459022,112.31018,,
,,,,
14:54.5,463073,112.2228537,,
,,,,
14:54.5,467073,112.0571433,,
,,,,
14:54.5,471058,111.9892253,,
,,,,
14:54.5,475023,112.2514676,,
,,,,
14:54.5,479023,111.7064769,,
,,,,
14:54.5,484022,111.83747,,
,,,,
14:54.5,488074,111.72643,,
,,,,
14:54.5,492074,111.9277488,,
,,,,
14:54.5,496023,111.9134806,,
,,,,
14:54.5,500022,111.7238617,,
,,,,
14:54.5,504073,111.7665954,,
,,,,
14:54.5,509023,111.7978878,,
,,,,
14:54.5,513058,111.8162739,,
,,,,
14:54.5,517073,111.7014836,,
,,,,
14:54.5,521022,111.7651132,,
,,,,
14:54.5,525058,111.8368075,,
,,,,
14:54.5,529022,112.1677702,,
,,,,
14:54.5,534030,112.4261542,,
,,,,
14:54.5,538023,112.2305849,,
,,,,
14:54.5,542058,111.9717335,,
,,,,
14:54.5,546023,112.1645531,,
,,,,
14:54.5,550057,111.9334557,,
,,,,
14:54.6,554057,112.4350103,,
,,,,
14:54.6,559023,112.1572757,,
,,,,
14:54.6,563058,112.4241963,,
,,,,
14:54.6,567024,112.1712552,,
,,,,
14:54.6,571023,111.9184096,,
,,,,
14:54.6,575022,111.5322309,,
,,,,
14:54.6,579058,112.1440696,,
,,,,
14:54.6,584022,111.854214,,
,,,,
14:54.6,588066,111.7474432,,
,,,,
14:54.6,592065,111.8839401,,
,,,,
14:54.6,596022,111.9294859,,
,,,,
14:54.6,600022,112.0898874,,
,,,,
14:54.6,604099,111.8692991,,
,,,,
14:54.6,609032,111.7605033,,
,,,,
14:54.6,613058,111.7871653,,
,,,,
14:54.6,617057,112.1600927,,
,,,,
14:54.6,621022,112.3512446,,
,,,,
14:54.6,625047,111.8391218,,
,,,,
14:54.6,629022,111.8519245,,
,,,,
14:54.6,634021,111.8798453,,
,,,,
14:54.6,638023,111.8812458,,
