EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
13, 17, 40, 51, -10, 3, 4, 6, 2021-08-24 19:08:10.808729
2, 5, 8, 29, 1, -6, -3, -4, 2021-08-24 19:08:10.822726
-25, -42, -54, -4, 2, -7, -8, -11, 2021-08-24 19:08:10.822726
2, 5, 10, -21, -4, 4, 3, 3, 2021-08-24 19:08:10.823726
-13, -19, -33, -48, -12, -6, -6, -7, 2021-08-24 19:08:10.823726
4, 6, -1, -9, -4, -2, 0, 1, 2021-08-24 19:08:10.835723
10, 13, 0, -13, -2, 4, 3, 5, 2021-08-24 19:08:10.836723
-3, -3, 2, 6, 6, -5, -4, -3, 2021-08-24 19:08:10.844723
0, -2, -15, -11, -6, -2, 0, 1, 2021-08-24 19:08:10.845723
-8, -10, -7, 2, -7, -5, -5, -5, 2021-08-24 19:08:10.859721
6, 13, 33, 9, 0, 1, 2, 2, 2021-08-24 19:08:10.859721
4, 4, 8, 8, 10, 5, 5, 2, 2021-08-24 19:08:10.861720
3, 6, 17, 21, 2, 3, 2, 1, 2021-08-24 19:08:10.861720
2, -3, -16, -2, 5, 2, 3, 2, 2021-08-24 19:08:10.883716
-2, 0, -9, -17, -9, -5, -5, -3, 2021-08-24 19:08:10.883716
9, 14, 20, 24, 2, 2, 3, 6, 2021-08-24 19:08:10.884716
-14, -17, -15, -10, -10, -11, -9, -11, 2021-08-24 19:08:10.885718
-4, -6, -2, -5, 4, 1, -2, -1, 2021-08-24 19:08:10.895713
7, 4, -27, -15, -5, 1, 2, 4, 2021-08-24 19:08:10.896713
9, 12, 8, 2, 0, -1, -2, 2, 2021-08-24 19:08:10.904713
-21, -21, 6, -6, -3, -11, -8, -14, 2021-08-24 19:08:10.905712
-3, -1, 5, 6, -1, 0, -1, -2, 2021-08-24 19:08:10.919710
-3, -4, -7, -7, -2, 1, 0, -1, 2021-08-24 19:08:10.919710
5, 2, -40, -20, 2, 0, -2, 3, 2021-08-24 19:08:10.920709
16, 17, 0, 13, 5, 5, 7, 10, 2021-08-24 19:08:10.921709
-16, -12, 54, -5, -16, -13, -12, -13, 2021-08-24 19:08:10.941705
3, 8, -6, 10, 6, 1, 1, 1, 2021-08-24 19:08:10.942705
-1, 1, 26, 18, 2, 2, 2, -1, 2021-08-24 19:08:10.943704
15, 16, 4, 16, 14, 12, 9, 9, 2021-08-24 19:08:10.943704
-4, -12, -41, -6, 2, 3, 3, -1, 2021-08-24 19:08:10.955702
-5, -8, -31, -34, -11, -7, -5, -6, 2021-08-24 19:08:10.955702
-11, -9, 2, -2, -13, -12, -9, -8, 2021-08-24 19:08:10.964700
-13, -13, 19, 1, -5, -6, -9, -7, 2021-08-24 19:08:10.964700
17, 21, 15, 11, 9, 10, 10, 12, 2021-08-24 19:08:10.979698
8, 9, 2, 1, 2, 3, 3, 5, 2021-08-24 19:08:10.979698
-25, -29, -36, -23, -12, -12, -12, -15, 2021-08-24 19:08:10.985697
1, 2, -3, -7, 0, -4, -4, 0, 2021-08-24 19:08:10.985697
2, 8, 35, 11, 2, -2, -2, -1, 2021-08-24 19:08:11.009693
-2, -4, -3, 6, 7, 9, 6, 5, 2021-08-24 19:08:11.009693
12, 12, 1, 1, 4, 7, 7, 8, 2021-08-24 19:08:11.011692
-1, -2, -8, -1, -4, 1, -1, 0, 2021-08-24 19:08:11.011692
11, 12, -23, -9, -1, 0, 5, 7, 2021-08-24 19:08:11.015691
-20, -23, 11, 5, -12, -11, -11, -11, 2021-08-24 19:08:11.015691
-10, -9, 27, 15, 2, -5, -6, -8, 2021-08-24 19:08:11.025690
11, 9, -12, -10, 6, 8, 9, 8, 2021-08-24 19:08:11.025690
9, 13, 15, 5, 0, 1, 3, 3, 2021-08-24 19:08:11.039689
-18, -26, -23, 2, -6, -6, -5, -8, 2021-08-24 19:08:11.039689
-12, -15, -20, -16, -11, -13, -11, -10, 2021-08-24 19:08:11.041686
2, 6, -3, -9, -3, 1, -1, 1, 2021-08-24 19:08:11.041686
-3, -3, -17, -8, -1, 0, -4, -3, 2021-08-24 19:08:11.061682
11, 16, 9, -7, -4, -2, 1, 2, 2021-08-24 19:08:11.062683
-8, -9, 11, 17, 1, -1, -1, -2, 2021-08-24 19:08:11.063683
10, 11, 18, 19, 11, 7, 6, 8, 2021-08-24 19:08:11.063683
-19, -23, -22, -12, -7, -8, -7, -12, 2021-08-24 19:08:11.084681
-8, -6, -5, -9, -4, -6, -7, -8, 2021-08-24 19:08:11.084681
13, 17, 12, 0, 1, 7, 5, 9, 2021-08-24 19:08:11.086679
-4, -3, -2, -10, -1, -2, -2, -3, 2021-08-24 19:08:11.086679
-5, -7, 23, 29, 7, 0, 0, -1, 2021-08-24 19:08:11.099193
9, 11, 4, 5, 3, 5, 4, 4, 2021-08-24 19:08:11.100232
9, 8, -11, -2, 1, 5, 6, 5, 2021-08-24 19:08:11.101193
-5, -12, -9, -10, -4, -3, -3, -3, 2021-08-24 19:08:11.101193
-6, -9, -23, -22, -12, -6, -6, -4, 2021-08-24 19:08:11.122217
0, 1, -1, 2, -2, -2, -3, -2, 2021-08-24 19:08:11.122217
6, 8, 18, 11, 8, 7, 6, 6, 2021-08-24 19:08:11.124188
-9, -8, 7, -8, -11, -10, -7, -9, 2021-08-24 19:08:11.124188
0, -1, -12, -1, -1, -2, -2, -3, 2021-08-24 19:08:11.136185
4, 4, -2, -12, -5, -1, 2, 2, 2021-08-24 19:08:11.136185
-2, -1, 8, 6, 1, -3, -4, -5, 2021-08-24 19:08:11.152183
19, 24, 18, 21, 10, 8, 10, 11, 2021-08-24 19:08:11.152183
-31, -41, -32, -22, -13, -15, -13, -19, 2021-08-24 19:08:11.159182
-3, 2, 4, -1, -5, -3, -6, -5, 2021-08-24 19:08:11.160182
-7, -8, -5, -5, -4, -1, -2, -4, 2021-08-24 19:08:11.161183
-2, -5, -11, -8, -2, -1, -1, 0, 2021-08-24 19:08:11.161183
14, 15, 6, 8, 5, 5, 5, 10, 2021-08-24 19:08:11.182180
6, 3, -3, -5, 1, 3, 6, 4, 2021-08-24 19:08:11.182180
-17, -16, -12, -3, -2, -8, -10, -13, 2021-08-24 19:08:11.184181
-3, 2, 21, 17, -7, -5, -3, -3, 2021-08-24 19:08:11.184181
3, 7, 1, 5, 4, 3, 2, 4, 2021-08-24 19:08:11.196176
5, 5, 5, 6, 6, 7, 6, 4, 2021-08-24 19:08:11.196176
4, 2, -16, -14, -2, 5, 3, 2, 2021-08-24 19:08:11.205173
-6, -10, -19, -23, -8, -7, -4, -4, 2021-08-24 19:08:11.205173
-6, -3, -9, -7, -2, -10, -12, -9, 2021-08-24 19:08:11.220177
-1, 1, 27, 14, -3, -2, -2, 0, 2021-08-24 19:08:11.220177
6, 3, -32, -24, 0, 4, 6, 7, 2021-08-24 19:08:11.221169
-1, 6, 47, 39, 9, 3, 0, -1, 2021-08-24 19:08:11.221169
-6, -3, 19, 10, 2, 3, 1, -1, 2021-08-24 19:08:11.242166
8, 14, -2, 1, 1, 3, 2, 5, 2021-08-24 19:08:11.243168
-9, -18, -26, -13, -7, -6, -4, -4, 2021-08-24 19:08:11.244166
10, 10, -14, -14, -5, 0, 3, 6, 2021-08-24 19:08:11.244166
-21, -28, -24, -18, -15, -14, -12, -14, 2021-08-24 19:08:11.265162
